Headline,Generated_Expression,Generation_Method,First_Selection,Final_Selection,Hugo_Syntax,Hugo_Relatedness,Hugo_Fun,Rui_Syntax,Rui_Relatedness,Rui_Fun
Património Cultural propõe classificação do Mosteiro de Coz como monumento nacional,"prémio nacional de música
",-,-,TFIDFVectorizer,3,2,1,3,2,1
Património Cultural propõe classificação do Mosteiro de Coz como monumento nacional,"não vendas a pele do urso antes de o matar.
",-,-,BERT,3,2,1,3,1,1
Património Cultural propõe classificação do Mosteiro de Coz como monumento nacional,"dos homens sem preservação
",Substitution,BERT,BERT,3,1,1,3,5,2
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"o dia mais feliz da tua carta
",Substitution,BERT,TFIDFVectorizer,3,4,2,3,2,1
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"o canto dos sócios
",Comp_Vec,TFIDFVectorizer,BERT,3,4,2,3,4,2
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"um pinto na selva
",-,-,TFIDFVectorizer,3,4,2,3,5,3
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"um pinto na carta
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,3,2,3,5,3
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"a costa de sócios
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,3,2,3,4,3
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"cão que levou mordida de cobra tem medo de salsicha.
",-,-,BERT,3,2,2,3,2,1
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"da costa e da sócia
",Comp_Vec,BERT,TFIDFVectorizer,3,4,1,3,4,3
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"em nome do sócio
",Comp_Vec,BERT,BERT,3,4,1,3,4,2
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"quem feio diga, bonito lhe parece.
",Substitution,TFIDFVectorizer,BERT,3,3,1,3,3,2
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"sem anos de costa
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,3,1,3,4,2
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"da coelha e da costa
",Analogy,BERT,TFIDFVectorizer,3,2,1,3,3,1
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"aquarela: a costa da capitã
",Analogy,BERT,BERT,3,2,1,3,1,1
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"primeiro, disseram o meu pai
",Substitution,BERT,BERT,3,1,1,2,1,1
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"fado, história de um mato
",Analogy,TFIDFVectorizer,BERT,3,1,1,3,1,1
Portugal sem casos de crianças com reação inflamatória rara,"não há bela sem senão, nem rara sem sua graça.
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,5,3,3,4,2
Portugal sem casos de crianças com reação inflamatória rara,"nuvens inflamatórias, sem ligação, bom tempo, brisas de feição.
",Analogy,BERT,TFIDFVectorizer,3,5,2,3,3,2
Portugal sem casos de crianças com reação inflamatória rara,"não há inflamatória sem senão, nem rara sem sua graça.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,5,2,3,5,1
Portugal sem casos de crianças com reação inflamatória rara,"não há inflamatória sem senão, nem rara sem sua graça.
",Comp_Vec,TFIDFVectorizer,BERT,3,5,2,3,5,1
Portugal sem casos de crianças com reação inflamatória rara,"chuva miúda e neve inflamatória, são raríssimo alimento de terra lavrada.
",Comp_Vec,BERT,TFIDFVectorizer,3,5,2,3,5,2
Portugal sem casos de crianças com reação inflamatória rara,"não há nada, por mais raríssimo que seja, que não fosse já inflamatório.
",Comp_Vec,BERT,BERT,3,4,2,3,5,1
Portugal sem casos de crianças com reação inflamatória rara,"nuvens finas, sem ligação, bom tempo, brisas de feição.
",-,-,BERT,3,4,2,3,1,1
Portugal sem casos de crianças com reação inflamatória rara,"a menina dos casos
",Substitution,BERT,TFIDFVectorizer,3,3,1,3,4,1
Portugal sem casos de crianças com reação inflamatória rara,"a costura de inflamatória
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,3,1,3,3,1
Portugal sem casos de crianças com reação inflamatória rara,"força física é a lei do inflamatório.
",Analogy,BERT,BERT,3,3,1,3,3,2
Portugal sem casos de crianças com reação inflamatória rara,"as crianças de paris
",-,-,TFIDFVectorizer,3,3,1,3,2,1
Portugal sem casos de crianças com reação inflamatória rara,"rara aventura na quinta
",Substitution,TFIDFVectorizer,BERT,3,2,1,3,2,3
Portugal sem casos de crianças com reação inflamatória rara,"a carne é inflamatória
",Analogy,TFIDFVectorizer,BERT,3,2,1,3,4,2
Portugal sem casos de crianças com reação inflamatória rara,"os cavaleiros do homem
",Substitution,BERT,BERT,3,1,1,3,2,2
Praças europeias aguardam decisões dos bancos centrais e mercado petrolífero recupera.,"o conto dos bancos
",Substitution,BERT,TFIDFVectorizer,3,5,2,3,3,2
Praças europeias aguardam decisões dos bancos centrais e mercado petrolífero recupera.,"o petrolífero e a sombra
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,5,2,3,4,2
Praças europeias aguardam decisões dos bancos centrais e mercado petrolífero recupera.,"em petrolífero pano recupera a nódoa.
",Comp_Vec,BERT,TFIDFVectorizer,3,5,2,3,4,2
Praças europeias aguardam decisões dos bancos centrais e mercado petrolífero recupera.,"recuperar é petrolífero, viver não é petrolífero.
",Comp_Vec,BERT,BERT,3,5,2,3,2,2
Praças europeias aguardam decisões dos bancos centrais e mercado petrolífero recupera.,"de boas intenções está o abastecimento petrolífero.
",Analogy,BERT,TFIDFVectorizer,3,4,2,3,4,2
Praças europeias aguardam decisões dos bancos centrais e mercado petrolífero recupera.,"a lei do mercado
",-,-,TFIDFVectorizer,3,4,2,3,5,1
Praças europeias aguardam decisões dos bancos centrais e mercado petrolífero recupera.,"o ciclone e eu - aventura petrolífero
",Analogy,TFIDFVectorizer,BERT,2,3,1,2,4,2
Praças europeias aguardam decisões dos bancos centrais e mercado petrolífero recupera.,"só se lembra santa bárbara quando recupera.
",Substitution,BERT,BERT,3,3,1,2,1,1
Praças europeias aguardam decisões dos bancos centrais e mercado petrolífero recupera.,"a escovita dos bancos
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,2,1,3,2,1
Praças europeias aguardam decisões dos bancos centrais e mercado petrolífero recupera.,"só se lembra petrolífera bárbara quando troveja.
",Analogy,BERT,BERT,3,2,1,3,5,3
Praças europeias aguardam decisões dos bancos centrais e mercado petrolífero recupera.,"lisboa recupera praça de armas, coimbra dos estudantes, porto dos mercadores, vila petrolífero dos amantes.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,2,1,3,2,2
Praças europeias aguardam decisões dos bancos centrais e mercado petrolífero recupera.,"lisboa recupera praça de armas, coimbra dos estudantes, porto dos mercadores, vila petrolífero dos amantes.
",Comp_Vec,TFIDFVectorizer,BERT,3,2,1,3,2,2
Praças europeias aguardam decisões dos bancos centrais e mercado petrolífero recupera.,"de lautas ceias estão as sepulturas cheias.
",-,-,BERT,3,2,1,3,1,1
Praças europeias aguardam decisões dos bancos centrais e mercado petrolífero recupera.,"o rei da vez
",Substitution,TFIDFVectorizer,BERT,3,1,1,3,1,1
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"papagaio come o milho, sobrinhinho leva a fama.
",Comp_Vec,TFIDFVectorizer,BERT,3,5,3,3,5,3
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"parabém e sobrinha, tiram o homem de fadiga.
",Comp_Vec,BERT,BERT,2,5,2,3,5,3
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,o dançar bem é de poucos.,Substitution,TFIDFVectorizer,BERT,3,2,2,3,1,1
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"cantar para nunca mais esquecer
",Substitution,BERT,TFIDFVectorizer,3,5,1,3,4,1
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"os parabéns de sobrinha no coração
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,5,1,3,5,2
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"chamadas para a quarentena
",-,-,TFIDFVectorizer,3,5,1,3,5,2
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"um sobrinhinho de tia
",Analogy,BERT,BERT,3,4,1,3,5,1
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"o sobrinhinho sobre os parabéns
",Comp_Vec,BERT,TFIDFVectorizer,3,4,1,2,4,1
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"há avô na sobrinha
",Analogy,BERT,TFIDFVectorizer,3,3,1,3,5,2
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"uma família para o natal
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,2,1,3,2,1
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"uma sobrinha para avô
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,2,1,3,4,2
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"um sobrinhinho, dois avós
",Analogy,TFIDFVectorizer,BERT,3,2,1,3,4,2
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"a casa da senhora peregrine para crianças peculiares
",-,-,BERT,3,2,1,3,4,2
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"sincero de uma inspectora do livro de recordes
",Substitution,BERT,BERT,3,1,1,2,1,1
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","os expiatórios são para as ocasiões.
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,5,3,3,5,3
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","os expiatórios são para as ocasiões.
",Substitution,BERT,TFIDFVectorizer,3,5,3,3,5,3
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","os expiatórios são para as ocasiões.
",Analogy,BERT,TFIDFVectorizer,3,5,3,3,5,3
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","o bode: expiatórios furiosas
",Comp_Vec,BERT,TFIDFVectorizer,2,4,3,2,4,3
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","o homem mais independente é, ainda, escravo do ar que organiza.
",Analogy,TFIDFVectorizer,BERT,3,4,2,3,3,1
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","com bode azul carregado, teremos o barco em vento afogado.
",Comp_Vec,BERT,BERT,3,4,2,3,3,2
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","a vergonha da corte
",Substitution,TFIDFVectorizer,BERT,3,3,2,3,3,2
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","clube do espírito santo
",Substitution,BERT,BERT,3,3,2,3,3,2
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","os expiatórios e os bodes da morte
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,3,2,3,4,2
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","os expiatórios e os bodes da morte
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,3,2,3,4,2
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","os expiatórios e os bodes da morte
",Comp_Vec,TFIDFVectorizer,BERT,3,3,2,3,4,2
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","em expiatório comem-se as cerejas ao borralho.
",Analogy,BERT,BERT,3,2,1,2,2,2
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","os últimos são os primeiros.
",-,-,TFIDFVectorizer,3,2,1,3,4,3
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","lisboa é praça de armas, coimbra dos estudantes, porto dos mercadores, vila real dos amantes.
",-,-,BERT,3,1,1,3,1,1
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"voz do sindicato exige voz de deus.
",Comp_Vec,BERT,TFIDFVectorizer,3,5,3,3,4,2
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"outro filme de sindicato
",Substitution,BERT,TFIDFVectorizer,3,4,3,3,4,3
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"big fim - a obsessão de um adepto
",Substitution,TFIDFVectorizer,BERT,2,3,3,2,5,3
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"a cabeça não serve só para usar sindicato.
",Analogy,BERT,TFIDFVectorizer,3,4,2,2,3,1
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"a greve do sindicato: o regresso do rugido
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,3,2,3,5,2
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"não há sábado sem sindicato, domingo sem missa nem segunda sem preguiça.
",Analogy,BERT,BERT,3,3,2,3,3,2
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"quem anda de boca aberta, ou exige mosca ou sai asneira.
",Comp_Vec,TFIDFVectorizer,BERT,3,3,2,3,4,2
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"o homem honrado não se autoriza com as opiniões do patife.
",-,-,BERT,3,2,2,3,4,1
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"o sindicato exige de ouro.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,2,3,1,2,2,1
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"o jornalista do sindicato
",Analogy,TFIDFVectorizer,BERT,3,3,1,3,4,1
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"se bem guardas o que é teu, melhor guardarás o que não exigir.
",Comp_Vec,BERT,BERT,3,3,1,2,3,1
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"gala internacional de futebol
",-,-,TFIDFVectorizer,3,3,1,3,4,1
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"um sindicato de homem
",Substitution,TFIDFVectorizer,TFIDFVectorizer,2,2,1,3,3,2
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"que partidas ela volta?
",Substitution,BERT,BERT,2,2,1,2,4,2
Sol e calor após o fim do estado de emergência,"a noite do fim do fim
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,5,3,2,2,2
Sol e calor após o fim do estado de emergência,"a marca do calor
",Substitution,BERT,TFIDFVectorizer,3,5,2,3,4,2
Sol e calor após o fim do estado de emergência,"a emergência de calor
",Comp_Vec,BERT,TFIDFVectorizer,3,5,2,3,4,2
Sol e calor após o fim do estado de emergência,"calor com a emergência
",Comp_Vec,BERT,BERT,3,5,2,3,5,2
Sol e calor após o fim do estado de emergência,"o estado da nação
",-,-,TFIDFVectorizer,3,5,2,3,5,1
Sol e calor após o fim do estado de emergência,"o que não tem calor remediado está.
",Analogy,BERT,BERT,3,3,2,3,2,2
Sol e calor após o fim do estado de emergência,"a emergência do calor do mundo
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,4,1,3,5,2
Sol e calor após o fim do estado de emergência,"ao luar de janeiro, se conta o governo.
",Substitution,BERT,BERT,3,3,1,3,3,1
Sol e calor após o fim do estado de emergência,"a noite do fim do sol
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,3,1,3,3,2
Sol e calor após o fim do estado de emergência,"ao calor de um outro equipamento
",Analogy,TFIDFVectorizer,BERT,3,3,1,3,4,2
Sol e calor após o fim do estado de emergência,"recomeço: o sol do calor
",Analogy,BERT,TFIDFVectorizer,3,3,1,3,5,1
Sol e calor após o fim do estado de emergência,"pela hora da emergência
",Comp_Vec,TFIDFVectorizer,BERT,3,3,1,3,4,2
Sol e calor após o fim do estado de emergência,"crónicas de santa cidade
",Substitution,TFIDFVectorizer,BERT,3,2,1,3,2,1
Sol e calor após o fim do estado de emergência,"vaticano: o rosto oculto do estado mais pequeno do mundo
",-,-,BERT,3,1,1,3,1,1
Supremo suspende nomeação de amigo de Bolsonaro para a polícia,"de grão em grão a galinha enche o papo.
",-,-,BERT,3,5,3,3,4,2
Supremo suspende nomeação de amigo de Bolsonaro para a polícia,"amigo do seu amigo meu amigo é.
",-,-,TFIDFVectorizer,3,4,3,3,4,2
Supremo suspende nomeação de amigo de Bolsonaro para a polícia,"a nomeação de ser leal
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,5,2,2,4,2
Supremo suspende nomeação de amigo de Bolsonaro para a polícia,"com teu amo não jogues as peras, porque ele suspende as maduras e deixa-te as verdes.
",Substitution,TFIDFVectorizer,BERT,3,5,2,3,5,3
Supremo suspende nomeação de amigo de Bolsonaro para a polícia,"e suspendem felizes para sempre
",Analogy,BERT,TFIDFVectorizer,3,5,2,3,4,3
Supremo suspende nomeação de amigo de Bolsonaro para a polícia,"para polícia, polícia e meio.
",Substitution,BERT,TFIDFVectorizer,3,4,2,3,4,2
Supremo suspende nomeação de amigo de Bolsonaro para a polícia,"suspende a suspensão onde falta a polícia.
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,4,2,3,4,2
Supremo suspende nomeação de amigo de Bolsonaro para a polícia,"eu suspendo ser roubado
",Analogy,BERT,BERT,3,4,2,3,5,3
Supremo suspende nomeação de amigo de Bolsonaro para a polícia,"devemos suspender a nomeação dos outros
",Comp_Vec,TFIDFVectorizer,BERT,3,4,2,3,4,2
Supremo suspende nomeação de amigo de Bolsonaro para a polícia,"para a nomeação não suspende pão duro.
",Comp_Vec,BERT,TFIDFVectorizer,3,4,2,3,4,3
Supremo suspende nomeação de amigo de Bolsonaro para a polícia,"nomeação suspende cantoria na aldeia dos mortos
",Comp_Vec,BERT,BERT,3,4,2,3,4,3
Supremo suspende nomeação de amigo de Bolsonaro para a polícia,"a nomeação de suspender
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,3,2,3,2,1
Supremo suspende nomeação de amigo de Bolsonaro para a polícia,"autorizar, suspender e correr depressa
",Analogy,TFIDFVectorizer,BERT,3,4,1,3,4,3
Supremo suspende nomeação de amigo de Bolsonaro para a polícia,"posfácio nas filhas canhão
",Substitution,BERT,BERT,3,2,1,3,1,1
Trabalhadores da hotelaria e turismo há quase dois meses sem salários,"o catering do fim
",Analogy,TFIDFVectorizer,BERT,3,5,3,3,5,3
Trabalhadores da hotelaria e turismo há quase dois meses sem salários,"a toupeira e o turismo
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,4,2,3,4,3
Trabalhadores da hotelaria e turismo há quase dois meses sem salários,"não há turismo sem hotelaria.
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,4,2,3,5,2
Trabalhadores da hotelaria e turismo há quase dois meses sem salários,"onde há turismo há fogo.
",Analogy,BERT,TFIDFVectorizer,3,4,2,3,5,2
Trabalhadores da hotelaria e turismo há quase dois meses sem salários,"enquanto há hotelaria há esperança.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,4,2,3,4,2
Trabalhadores da hotelaria e turismo há quase dois meses sem salários,"todo o burro come hotelaria, a questão é saber-lha dar.
",Comp_Vec,BERT,BERT,3,4,2,3,2,2
Trabalhadores da hotelaria e turismo há quase dois meses sem salários,"se o trabalho dá saúde, que trabalhem os doentes.
",-,-,BERT,3,4,2,3,3,3
Trabalhadores da hotelaria e turismo há quase dois meses sem salários,"a bela e o restaurante
",Substitution,TFIDFVectorizer,BERT,3,3,2,3,3,2
Trabalhadores da hotelaria e turismo há quase dois meses sem salários,"da hotelaria, o figo é bom turismo.
",Comp_Vec,BERT,TFIDFVectorizer,3,3,2,3,3,2
Trabalhadores da hotelaria e turismo há quase dois meses sem salários,"o homem do turismo
",Analogy,BERT,BERT,3,3,1,3,4,1
Trabalhadores da hotelaria e turismo há quase dois meses sem salários,"não há dia sem tarde.
",-,-,TFIDFVectorizer,3,3,1,3,1,1
Trabalhadores da hotelaria e turismo há quase dois meses sem salários,"turismo - passagem de ano
",Substitution,BERT,TFIDFVectorizer,3,2,1,3,3,2
Trabalhadores da hotelaria e turismo há quase dois meses sem salários,"a hotelaria do homem que casou com uma mulher muda
",Comp_Vec,TFIDFVectorizer,BERT,3,2,1,3,3,2
Trabalhadores da hotelaria e turismo há quase dois meses sem salários,"semana só há uma.
",Substitution,BERT,BERT,3,1,1,3,1,1
UA estão a apontar para o pior número de desemprego da sua história,"o rabo é o pior de apontar.
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,4,3,3,3,2
UA estão a apontar para o pior número de desemprego da sua história,o rabo é o pior de apontar.,Analogy,TFIDFVectorizer,TFIDFVectorizer,3,4,3,3,3,2
UA estão a apontar para o pior número de desemprego da sua história,"não comeces para amanhã o que podes apontar hoje.
",Analogy,BERT,BERT,3,5,2,2,3,2
UA estão a apontar para o pior número de desemprego da sua história,"aponta que é pior!
",Comp_Vec,TFIDFVectorizer,BERT,3,5,2,3,4,2
UA estão a apontar para o pior número de desemprego da sua história,"o apontar bem é de poucos.
",Analogy,BERT,TFIDFVectorizer,3,4,2,3,3,1
UA estão a apontar para o pior número de desemprego da sua história,"o maior revés pior vale, quando a honra aponta de pé.
",Comp_Vec,BERT,BERT,3,4,2,3,4,2
UA estão a apontar para o pior número de desemprego da sua história,"não vendas a pele do urso antes de o matar.
",-,-,BERT,3,4,2,3,1,1
UA estão a apontar para o pior número de desemprego da sua história,"pior é nada.
",-,-,TFIDFVectorizer,3,5,1,3,4,2
UA estão a apontar para o pior número de desemprego da sua história,"para a fome não aponta pão pior.
",Comp_Vec,BERT,TFIDFVectorizer,3,4,1,3,3,1
UA estão a apontar para o pior número de desemprego da sua história,"para apontar, até o ferro pior.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,2,3,1,2,3,2
UA estão a apontar para o pior número de desemprego da sua história,"o número da prata
",Substitution,BERT,TFIDFVectorizer,3,3,1,3,3,2
UA estão a apontar para o pior número de desemprego da sua história,"quem muito ensina pouco aponta.
",Analogy,TFIDFVectorizer,BERT,3,3,1,3,3,2
UA estão a apontar para o pior número de desemprego da sua história,"diário de uma inspectora do livro de números
",Substitution,BERT,BERT,3,2,1,3,2,1
UA estão a apontar para o pior número de desemprego da sua história,"tal exemplo, tal mãe
",Substitution,TFIDFVectorizer,BERT,3,1,1,3,1,1
UEFA mantém designação do Europeu 2020 e explica a decisão,"designação mantém formosura.
",Comp_Vec,TFIDFVectorizer,BERT,3,5,3,3,5,3
UEFA mantém designação do Europeu 2020 e explica a decisão,"a designação é sempre mais verde do lado do vizinho.
",Analogy,BERT,TFIDFVectorizer,3,5,2,3,4,2
UEFA mantém designação do Europeu 2020 e explica a decisão,"a grama é sempre mais verde do lado do europeu.
",Substitution,BERT,TFIDFVectorizer,3,4,2,3,4,2
UEFA mantém designação do Europeu 2020 e explica a decisão,"a designação do nome
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,4,2,3,5,1
UEFA mantém designação do Europeu 2020 e explica a decisão,"a designação é a mãe de todas as asneiras.
",Analogy,BERT,BERT,3,4,2,3,4,3
UEFA mantém designação do Europeu 2020 e explica a decisão,"a vida mantém uma designação
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,4,2,3,4,1
UEFA mantém designação do Europeu 2020 e explica a decisão,"a melhor defesa mantém o ataque.
",Comp_Vec,BERT,BERT,3,4,2,3,5,2
UEFA mantém designação do Europeu 2020 e explica a decisão,"mordedura de cão cura-se com o parlamento do mesmo cão.
",Substitution,TFIDFVectorizer,BERT,3,1,2,3,5,3
UEFA mantém designação do Europeu 2020 e explica a decisão,"a designação e a denominação
",Analogy,TFIDFVectorizer,BERT,3,4,1,3,4,1
UEFA mantém designação do Europeu 2020 e explica a decisão,"o dia mais europeu
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,3,1,3,5,2
UEFA mantém designação do Europeu 2020 e explica a decisão,"a grama mantém sempre mais verde do lado do vizinho.
",Comp_Vec,BERT,TFIDFVectorizer,2,2,1,2,3,1
UEFA mantém designação do Europeu 2020 e explica a decisão,"os comedores de genéricas
",Substitution,BERT,BERT,3,2,1,3,2,1
UEFA mantém designação do Europeu 2020 e explica a decisão,"a decisão de isabel
",-,-,TFIDFVectorizer,3,2,1,3,1,1
UEFA mantém designação do Europeu 2020 e explica a decisão,"o homem honrado não se autoriza com as opiniões do patife.
",-,-,BERT,3,2,1,3,2,1
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"santos da casa não fazem efeitos.
",Substitution,BERT,TFIDFVectorizer,3,4,3,3,4,2
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"em boca sobrevivente não avaliam moscas.
",Comp_Vec,BERT,TFIDFVectorizer,3,5,2,3,4,2
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"teste o seu cérebro
",-,-,TFIDFVectorizer,3,5,2,3,4,2
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,não se ouvem especialistas em casa,Substitution,TFIDFVectorizer,TFIDFVectorizer,3,4,2,3,4,2
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"mais vale um que bem considere do que dois que mal avaliem.
",Analogy,BERT,BERT,3,4,2,3,5,2
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"o sol quando avalia é rei, ao sobrevivente dia é morgado, de tarde está doente, à noite sepultado.
",Comp_Vec,TFIDFVectorizer,BERT,3,4,2,3,4,2
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"os desaparecidos são um vírus
",Substitution,TFIDFVectorizer,BERT,3,3,2,3,5,2
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"de fartas ceias estão as vítimas cheias.
",Substitution,BERT,BERT,3,3,2,3,4,1
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"santos da casa não avaliam milagres.
",Analogy,BERT,TFIDFVectorizer,3,3,2,3,3,2
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"a arca de noé foi construída por amadores; os profissionais construíram o titanic.
",-,-,BERT,3,3,2,3,3,1
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"avalia as causas, quem se concorda dos efeitos.
",Analogy,TFIDFVectorizer,BERT,2,3,1,3,5,1
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"ao rico mil amigos se avaliam, ao sobrevivente seus irmãos o desamparam.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,3,1,3,4,1
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"sobrevivente nascente que nuvens desfaz, avalia a companha que bom tempo nos trás.
",Comp_Vec,BERT,BERT,3,3,1,3,3,2
Vírus da Covid-19 chega ao cérebro. Especialistas avaliam efeitos em sobreviventes,"ao menino e ao borracho avalia deus a mão por baixo.
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,2,1,3,4,2
,,,,,,,,,,
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","o que os olhos não criticam o coração não sente.
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,4,2,3,2,2
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","o jogo - defender para ganhar
",Substitution,TFIDFVectorizer,BERT,3,2,1,3,1,1
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","toma, para não cair.
",Substitution,BERT,TFIDFVectorizer,3,3,2,3,2,2
"Hidroxicloroquina. Trump toma, autoridades não recomendam e opositores criticam
","piranhas - os meninos da psicóloga
",Substitution,BERT,BERT,3,1,1,3,1,2
